iter	Passed	Remaining
0	1	122
1	2	113
2	3	107
3	4	99
4	5	96
5	5	93
6	7	97
7	8	95
8	9	94
9	10	92
10	11	90
11	12	89
12	13	88
13	14	87
14	15	86
15	16	85
16	17	84
17	18	82
18	19	81
19	19	79
20	20	78
21	21	77
22	22	76
23	24	76
24	25	75
25	27	76
26	28	76
27	29	76
28	31	76
29	32	75
30	33	74
31	34	73
32	35	72
33	36	71
34	38	71
35	39	70
36	40	69
37	41	68
38	44	68
39	45	67
40	46	66
41	46	64
42	47	63
43	48	62
44	49	61
45	50	59
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	52
53	60	51
54	61	50
55	62	49
56	64	48
57	65	47
58	67	46
59	68	45
60	70	44
61	72	44
62	73	43
63	74	42
64	76	41
65	77	40
66	78	38
67	80	37
68	81	36
69	83	35
70	84	34
71	86	33
72	87	32
73	89	31
74	125	41
75	127	40
76	147	44
77	150	42
78	152	40
79	154	38
80	155	36
81	156	34
82	158	32
83	159	30
84	161	28
85	162	26
86	164	24
87	165	22
88	167	20
89	168	18
90	170	16
91	178	15
92	180	13
93	182	11
94	183	9
95	184	7
96	185	5
97	186	3
98	188	1
99	189	0
